code;unemployment rate
Montfort-l'Amaury (78420);7,6
Montigny-le-Bretonneux (78423);7,9
Morainvilliers (78431);6,9
Mousseaux-sur-Seine (78437);8,0
Mulcent (78439);5,0
Mureaux (78440);20,4
Neauphle-le-Château (78442);7,0
Neauphle-le-Vieux (78443);6,2
Neauphlette (78444);8,7
Nézel (78451);6,4
Noisy-le-Roi (78455);8,2
Oinville-sur-Montcient (78460);8,7
Orcemont (78464);8,0
Orgerus (78465);6,2
Orgeval (78466);8,8
Orphin (78470);10,2
Orsonville (78472);5,2
Orvilliers (78474);8,2
Osmoy (78475);5,0
Paray-Douaville (78478);5,8
Pecq (78481);8,1
Perdreauville (78484);6,4
Perray-en-Yvelines (78486);7,6
Plaisir (78490);10,8
Poigny-la-Forêt (78497);6,2
Poissy (78498);12,1
Ponthévrard (78499);5,5
Porcheville (78501);10,7
Port-Marly (78502);9,7
Port-Villez (78503);3,5
Prunay-le-Temple (78505);2,4
Prunay-en-Yvelines (78506);7,9
Queue-les-Yvelines (78513);7,9
Raizeux (78516);6,9
Rambouillet (78517);9,4
Rennemoulin (78518);8,0
Richebourg (78520);9,1
Rochefort-en-Yvelines (78522);6,3
Rocquencourt (78524);8,9
Rolleboise (78528);13,8
Rosay (78530);9,5
Rosny-sur-Seine (78531);12,6
Sailly (78536);5,9
Saint-Arnoult-en-Yvelines (78537);8,4
Saint-Cyr-l'École (78545);10,0
Saint-Forget (78548);4,7
Saint-Germain-de-la-Grange (78550);5,6
Saint-Germain-en-Laye (78551);9,6
Saint-Hilarion (78557);7,8
Saint-Illiers-la-Ville (78558);8,9
Saint-Illiers-le-Bois (78559);7,5
Saint-Lambert (78561);4,0
Saint-Léger-en-Yvelines (78562);6,9
Saint-Martin-de-Bréthencourt (78564);7,2
Saint-Martin-des-Champs (78565);11,8
Saint-Martin-la-Garenne (78567);8,4
Sainte-Mesme (78569);10,0
Saint-Nom-la-Bretèche (78571);7,2
Saint-Rémy-lès-Chevreuse (78575);6,7
Saint-Rémy-l'Honoré (78576);7,5
Sartrouville (78586);12,6
Saulx-Marchais (78588);7,6
Senlisse (78590);12,3
Septeuil (78591);9,5
Soindres (78597);9,1
Sonchamp (78601);7,3
Tacoignières (78605);7,0
Tartre-Gaudran (78606);0,0
Tertre-Saint-Denis (78608);14,1
Tessancourt-sur-Aubette (78609);6,2
Thiverval-Grignon (78615);8,6
Thoiry (78616);7,2
Tilly (78618);6,9
Toussus-le-Noble (78620);6,7
Trappes (78621);19,4
Tremblay-sur-Mauldre (78623);6,4
Triel-sur-Seine (78624);10,1
Vaux-sur-Seine (78638);10,4
Vélizy-Villacoublay (78640);6,9
Verneuil-sur-Seine (78642);7,9
Vernouillet (78643);12,9
Verrière (78644);15,4
Versailles (78646);8,2
Vert (78647);6,6
Vésinet (78650);7,9
Vicq (78653);12,8
Vieille-Église-en-Yvelines (78655);9,3
Villeneuve-en-Chevrie (78668);11,5
Villennes-sur-Seine (78672);8,5
Villepreux (78674);6,7
Villette (78677);9,9
Villiers-le-Mahieu (78681);6,6
Villiers-Saint-Frédéric (78683);6,1
Viroflay (78686);6,4
Voisins-le-Bretonneux (78688);6,8
Abbéville-la-Rivière (91001);10,3
Angerville (91016);12,2
Angervilliers (91017);6,5
Arpajon (91021);11,3
Arrancourt (91022);10,0
Athis-Mons (91027);9,2
Authon-la-Plaine (91035);9,5
Auvernaux (91037);6,3
Auvers-Saint-Georges (91038);9,3
Avrainville (91041);5,9
Ballainvilliers (91044);7,9
Ballancourt-sur-Essonne (91045);9,5
Baulne (91047);6,9
Bièvres (91064);8,3
Blandy (91067);10,6
Boigneville (91069);8,0
Bois-Herpin (91075);2,7
Boissy-la-Rivière (91079);6,4
Boissy-le-Cutté (91080);5,8
Boissy-le-Sec (91081);6,5
Boissy-sous-Saint-Yon (91085);6,0
Bondoufle (91086);8,5
Boullay-les-Troux (91093);4,4
Bouray-sur-Juine (91095);6,1
Boussy-Saint-Antoine (91097);9,8
Boutervilliers (91098);5,6
Boutigny-sur-Essonne (91099);6,8
Bouville (91100);5,9
Brétigny-sur-Orge (91103);12,9
Breuillet (91105);8,4
Breux-Jouy (91106);8,0
Brières-les-Scellés (91109);5,1
Briis-sous-Forges (91111);6,6
Brouy (91112);3,6
Brunoy (91114);9,9
Bruyères-le-Châtel (91115);7,6
Buno-Bonnevaux (91121);14,2
Bures-sur-Yvette (91122);8,0
Cerny (91129);5,9
Chalo-Saint-Mars (91130);6,7
Chalou-Moulineux (91131);9,6
Chamarande (91132);7,8
Champcueil (91135);7,3
Champlan (91136);8,2
Champmotteux (91137);4,2
Chatignonville (91145);21,2
Chauffour-lès-Étréchy (91148);8,3
Cheptainville (91156);3,8
Chevannes (91159);5,0
Chilly-Mazarin (91161);10,6
Corbeil-Essonnes (91174);14,8
Corbreuse (91175);7,0
Coudray-Montceaux (91179);9,6
Courances (91180);4,2
Courcouronnes (91182);16,9
Courdimanche-sur-Essonne (91184);11,4
Courson-Monteloup (91186);5,8
Crosne (91191);9,8
Dannemois (91195);10,0
D'Huison-Longueville (91198);7,0
Dourdan (91200);12,3
Draveil (91201);10,9
Écharcon (91204);9,5
Égly (91207);13,2
Épinay-sous-Sénart (91215);17,4
Épinay-sur-Orge (91216);9,5
Estouches (91222);8,5
Étampes (91223);15,9
Étiolles (91225);6,5
Étréchy (91226);8,0
Évry (91228);17,9
Ferté-Alais (91232);10,0
Fleury-Mérogis (91235);11,8
Fontaine-la-Rivière (91240);9,1
Fontenay-lès-Briis (91243);7,3
Fontenay-le-Vicomte (91244);8,4
Forêt-le-Roi (91247);3,7
Forêt-Sainte-Croix (91248);5,0
Forges-les-Bains (91249);7,0
Gif-sur-Yvette (91272);7,4
Gironville-sur-Essonne (91273);6,0
Gometz-la-Ville (91274);6,8
Gometz-le-Châtel (91275);6,9
Granges-le-Roi (91284);6,5
Grigny (91286);23,6
Guibeville (91292);6,6
Guigneville-sur-Essonne (91293);11,7
Guillerval (91294);9,9
Igny (91312);6,6
Itteville (91315);7,2
Janville-sur-Juine (91318);8,4
Janvry (91319);6,5
Juvisy-sur-Orge (91326);10,7
Lardy (91330);6,4
Leudeville (91332);5,2
Leuville-sur-Orge (91333);9,3
Limours (91338);6,9
Linas (91339);8,8
Lisses (91340);9,0
Longjumeau (91345);11,5
Longpont-sur-Orge (91347);7,7
Maisse (91359);8,9
Marcoussis (91363);8,5
Marolles-en-Beauce (91374);4,2
Marolles-en-Hurepoix (91376);8,0
Massy (91377);10,9
Mauchamps (91378);6,4
Mennecy (91386);8,6
